;; -*- coding: utf-8 -*--
tou-ming-ming-ling 透明命令
tou-she-du 透射度
tou-shi-tu 透视图
tou-ying-xian 投影线
tu-biao 图标
tu-ceng 图层
tu-ceng-ping-yi-ying-she 图层平移映射
tu-ceng-suo-yin 图层索引
tu-ding 图钉
tu-xing-chuang-kou 图形窗口
tu-xing-fan-wei 图形范围
tu-xing-ji 图形集
tu-xing-jie-xian 图形界限
tu-xing-qu 图形区
tu-xing-yang-ban 图形样板
tu-xing-zhuang-tai 图形状态
tu-zhi 图纸
tu-zhi-ji 图纸集
tu-zhi-kong-jian 图纸空间
tu-zhi-lie-biao 图纸列表
tu-zhi-xuan-ze 图纸选择
tuo-yin-xian 拖引线
wai-bu-can-zhao 外部参照
wan-jian-tou 弯箭头
wei-tu 位图
wen-li-tie-tu 纹理贴图
wen-zi-yang-shi 文字样式
wu-ming-kuai 无名块
xi-tong-bian-liang 系统变量
xian-kuan 线宽
xian-kuang-mo-xing 线框模型
xian-xing 线型
xian-xuan-ze-hou-zhi-xing 先选择后执行
xiang-dui-zuo-biao 相对坐标
xiang-ji 相机
xiang-ji-mu-biao 相机目标
xiang-lin-dan-yuan-xuan-ze 相邻单元选择
xiang-shang-fang-xiang 向上方向
xiao-kong-zhi-pan 小控制盘
xing-neng-tiao-jie 性能调节
xu-ping-xian-shi 虚屏显示
xuan-ze-ji 选择集
xuan-ze-jie-dian 选择节点
xuan-ze-lan 选择栏
xuan-ze-min-gan-du 选择敏感度
xun-huan-wai-bu-can-zhao 循环外部参照
yan-se-bao-he-du 颜色饱和度
yang-tiao-qu-xian 样条曲线
ye-mian-she-zhi 页面设置
yi-lai-fu-hao 依赖符号
yi-lai-ming-ming-dui-xiang 依赖命名对象
yin-xian-wei-bu 引线尾部
yin-ying-tie-tu 阴影贴图
yong-hu-zuo-biao-xi 用户坐标系
yu-xian-xuan-ze 预先选择
yu-xian-xuan-ze-ji 预先选择集
yuan-dian 原点
yun-dong-lu-jing 运动路径
zhao-du 照度
zhe-fan 折返
zhe-she 折射
zhen-lie 阵列
zhen-shi-zhao-pian-ji-xuan-ran 真实照片级渲染
zheng-jiao 正交
zheng-jiao-mo-shi 正交模式
zhi-jie-dian 值节点
zhi-jie-ju-li-shu-ru 直接距离输入
zhi-nan-zhen 指南针
zhi-neng-xian-shi 智能显示
zhi-xing-dui-xiang-bu-zhuo 执行对象捕捉
zhi-zhen 指针
zhong-sheng-cheng 重生成
zhu-biao-ge-sui-pian 主表格碎片
zhu-guang 烛光
zhu-shi 注释
zhu-shi-bi-li 注释比例
zhu-shi-tu 主视图
zhu-shi-xing 注释性
zhu-zi-ding-yi-wen-jian 主自定义文件
zhui-zong 追踪
zhui-zong-cai-dan 追踪菜单
zi-ding-yi-dui-xiang 自定义对象
zi-ding-yi-jia-dian 自定义夹点
zi-ding-yi-wen-jian 自定义文件
zi-duan 字段
zi-dui-xiang 子对象
zi-ji 子集
zi-shi-ying-cai-yang 自适应采样
zi-shi-ying-jiang-ji 自适应降级
zi-ti 字体
zi-ti-shi 子提示
zou-yang 走样
zui-zhong-cai-ji 最终采集
zuo-biao-guo-lv-qi 坐标过滤器
zuo-biao-xi 坐标系
