;; -*- coding: utf-8 -*--
a-ba-ga-qi-wei-dang-xiao 阿巴嘎旗委党校
pu-lan-dian-shi-wei-dang-xiao 普兰店市委党校
pu-ning-guang-bo-dian-shi-da-xue 普宁广播电视大学
pu-tian-dian-da 莆田电大
pu-tian-shi-wei-dang-xiao 莆田市委党校
pu-tian-xue-yuan 莆田学院
pu-tuo-qu-lao-gan-bu-da-xue 普陀区老干部大学
pu-tuo-qu-wei-dang-xiao 普陀区委党校
pu-tuo-ye-yu-da-xue 普陀业余大学
pu-xing-lu-jie-dao-lao-nian-xue-xiao 浦兴路街道老年学校
pu-yang-guang-bo-dian-shi-da-xue 濮阳广播电视大学
pu-yang-shi-she-hui-zhu-yi-xue-yuan 濮阳市社会主义学院
pu-yang-shi-xing-zheng-xue-yuan 濮阳市行政学院
pu-yang-zhi-ye-ji-shu-xue-yuan 濮阳职业技术学院
qi-che-gong-ye-gao-deng-zhuan-ke-xue-xiao 汽车工业高等专科学校
qi-che-xue-yuan 汽车学院
qi-che-zhi-ye-ji-shu-xue-yuan 齐车职业技术学院
qi-dong-shi-wei-dang-xiao 启东市委党校
qi-dong-xian-wei-dang-xiao 祁东县委党校
qi-lin-qu-wei-dang-xiao 麒麟区委党校
qi-mei-zhi-ye-ji-shu-pei-xun-xue-yuan 七煤职业技术培训学院
qi-men-xian-wei-dang-xiao 祁门县委党校
qi-qi-ha-er-ge-mai-na-er-zhi-ye-ji-shu-xue-yuan 齐齐哈尔格迈纳尔职业技术学院
qi-qi-ha-er-nong-ye-ji-xie-hua-xue-xiao 齐齐哈尔农业机械化学校
qi-qi-ha-er-nv-zi-zhuan-xiu-xue-yuan 齐齐哈尔女子专修学院
qi-qi-ha-er-shi-fan-gao-deng-zhuan-ke-xue-xiao 齐齐哈尔师范高等专科学校
qi-qi-ha-er-shi-guang-bo-dian-shi-da-xue 齐齐哈尔市广播电视大学
qi-qi-ha-er-shi-jian-she-zhi-gong-da-xue 齐齐哈尔市建设职工大学
qi-qi-ha-er-shi-nong-ye-ke-xue-yuan 齐齐哈尔市农业科学院
qi-qi-ha-er-shi-she-hui-zhu-yi-xue-yuan 齐齐哈尔市社会主义学院
qi-qi-ha-er-shi-ti-yu-xue-yuan 齐齐哈尔市体育学院
qi-qi-ha-er-shi-wei-dang-xiao 齐齐哈尔市委党校
qi-qi-ha-er-shi-xing-zheng-xue-yuan 齐齐哈尔市行政学院
qi-qi-ha-er-shi-ying-yong-ji-shu-xue-yuan 齐齐哈尔市应用技术学院
qi-qi-ha-er-yi-xue-yuan 齐齐哈尔医学院
qi-qi-ha-er-yi-xue-yuan-di-yi-lin-chuang-yi-xue-yuan 齐齐哈尔医学院第一临床医学院
qi-qi-ha-er-zhi-ye-ji-shu-pei-xun-xue-yuan 齐齐哈尔职业技术培训学院
qi-qi-ha-er-zhi-ye-xue-yuan 齐齐哈尔职业学院
qi-tai-he-zhi-ye-xue-yuan 七台河职业学院
qi-tuan-chang-wu-qi-da-xue 七团场五七大学
qi-xia-qu-jiao-shi-jin-xiu-xue-xiao 栖霞区教师进修学校
qi-xia-qu-xing-zheng-xue-xiao 栖霞区行政学校
qi-xia-shi-wei-dang-xiao 栖霞市委党校
qi-xian-zhen-ren-min-zheng-fu-yi-lei-cheng-ren-xue-xiao 七贤镇人民政府一类成人学校
qi-xian-zhen-wei-yuan-hui-dang-xiao 齐贤镇委员会党校
qian-dong-nan-min-zu-zhi-ye-ji-shu-xue-yuan 黔东南民族职业技术学院
qian-dong-nan-zhou-xing-zheng-xue-yuan 黔东南州行政学院
qian-guo-xian-wei-dang-xiao 前郭县委党校
qian-jiang-dian-da 黔江电大
qian-jiang-shi-xing-zheng-xue-xiao 潜江市行政学校
qian-jin-da-xue 前进大学
qian-nan-min-zu-yi-xue-gao-deng-zhuan-ke-xue-xiao 黔南民族医学高等专科学校
qian-nan-min-zu-zhi-ye-ji-shu-xue-yuan 黔南民族职业技术学院
qian-nan-xing-zheng-xue-yuan 黔南行政学院
qian-wei-dian-da 犍为电大
qian-wei-xian-xing-zheng-xue-xiao 犍为县行政学校
qian-xi-dian-shi-da-xue 迁西电视大学
qian-xi-nan-min-zu-shi-zhuan 黔西南民族师专
qian-xi-nan-min-zu-zhi-ye-ji-shu-xue-yuan 黔西南民族职业技术学院
qian-xi-nan-zhou-xing-zheng-xue-yuan 黔西南州行政学院
qian-xian-xian-wei-dang-xiao 乾县县委党校
qian-yang-xian-wei-dang-xiao 千阳县委党校
qiao-si-zhen-wei-dang-xiao 乔司镇委党校
qiao-xin-da-xue 侨鑫大学
qiao-xin-gong-shang-guan-li-zhuan-xiu-xue-yuan 侨鑫工商管理专修学院
qie-mo-dang-xiao 且末党校
qin-huai-dian-da 秦淮电大
qin-huai-qu-zhi-gong-da-xue 秦淮区职工大学
qin-huang-dao-gang-wu-ji-tuan-dang-xiao 秦皇岛港务集团党校
qin-huang-dao-shi-wei-dang-xiao 秦皇岛市委党校
qin-huang-dao-shi-xing-zheng-xue-yuan 秦皇岛市行政学院
qin-huang-dao-wai-guo-yu-zhi-ye-xue-yuan 秦皇岛外国语职业学院
qin-huang-dao-zhi-ye-ji-shu-xue-yuan 秦皇岛职业技术学院
qin-zhou-shi-she-hui-zhu-yi-xue-yuan 钦州市社会主义学院
qin-zhou-shi-xing-zheng-xue-yuan 钦州市行政学院
qing-cun-zhen-lao-nian-xue-xiao 青村镇老年学校
qing-da-yi-xue-yuan 青大医学院
qing-dao-bei-fang-dui-wai-jiao-yu-jiao-liu-zhuan-xiu-xue-yuan 青岛北方对外教育交流专修学院
qing-dao-da-xue 青岛大学
qing-dao-dian-da 青岛电大
qing-dao-fei-yang-zhi-ye-ji-shu-xue-yuan 青岛飞洋职业技术学院
qing-dao-gang-wan-xue-yuan 青岛港湾学院
qing-dao-guang-bo-dian-shi-da-xue 青岛广播电视大学
qing-dao-hai-xing-zhi-ye-ji-shu-xue-xiao 青岛海星职业技术学校
qing-dao-hua-qiao-xue-xiao 青岛华侨学校
qing-dao-ji-shi-xue-yuan 青岛技师学院
qing-dao-jiu-dian-guan-li-xue-yuan 青岛酒店管理学院
qing-dao-jun-da-jing-ji-zhuan-xiu-xue-yuan 青岛军大经济专修学院
qing-dao-jun-zheng-ren-wen-da-xue 青岛军政人文大学
qing-dao-ke-ji-da-xue 青岛科技大学
qing-dao-li-gong-da-xue 青岛理工大学
qing-dao-lin-gang-xue-yuan 青岛临港学院
qing-dao-lin-gang-zhi-ye-xue-yuan 青岛临港职业学院
qing-dao-nong-ye-da-xue 青岛农业大学
qing-dao-shi-li-cang-qu-wei-dang-xiao 青岛市李沧区委党校
qing-dao-shi-shi-bei-qu-wei-dang-xiao 青岛市市北区委党校
qing-dao-shi-shi-nan-qu-wei-dang-xiao 青岛市市南区委党校
qing-dao-shi-wei-dang-xiao 青岛市委党校
qing-dao-xin-gang-bao-guan-xue-yuan 青岛新港报关学院
qing-dao-xing-zheng-xue-yuan 青岛行政学院
qing-dao-zhi-ye-ji-shu-xue-yuan-jiao-yu-xue-yuan 青岛职业技术学院教育学院
qing-fang-yu-shi-pin-xue-yuan 轻纺与食品学院
qing-gang-xian-wei-dang-xiao 青冈县委党校
qing-gong-lu-jia-zui-ji-shu-xue-yuan 轻工陆家嘴技术学院
qing-hai-da-xue 青海大学
qing-hai-jian-zhu-zhi-ye-ji-shu-xue-yuan 青海建筑职业技术学院
qing-hai-jiao-tong-zhi-ye-ji-shu-xue-yuan 青海交通职业技术学院
qing-hai-jing-guan-zhi-ye-xue-yuan 青海警官职业学院
qing-hai-min-zu-xue-yuan 青海民族学院
qing-hai-sheng-guang-bo-dian-shi-da-xue 青海省广播电视大学
qing-hai-sheng-hai-nan-guang-bo-dian-shi-da-xue 青海省海南广播电视大学
qing-hai-sheng-she-hui-zhu-yi-xue-yuan 青海省社会主义学院
qing-hai-sheng-wei-dang-xiao 青海省委党校
qing-hai-sheng-xing-zheng-xue-yuan 青海省行政学院
qing-hai-shi-fan-da-xue 青海师范大学
qing-hai-wei-sheng-zhi-ye-ji-shu-xue-yuan 青海卫生职业技术学院
qing-hai-xu-mu-shou-yi-xue-yuan 青海畜牧兽医学院
qing-hai-xu-mu-shou-yi-zhi-ye-ji-shu-xue-yuan 青海畜牧兽医职业技术学院
qing-he-qu-wei-dang-xiao 清河区委党校
qing-he-qu-xing-zheng-gan-bu-xue-xiao 清河区行政干部学校
qing-hua-da-xue 清华大学
qing-jian-wu-qi-da-xue 清涧五七大学
qing-liu-xian-wei-dang-xiao 清流县委党校
qing-long-xian-wei-dang-xiao 青龙县委党校
qing-pu-qu-bai-he-zhen-wei-dang-xiao 青浦区白鹤镇委党校
qing-pu-qu-cai-jing-jin-xiu-xue-xiao 青浦区财经进修学校
qing-pu-qu-cheng-ren-jin-xiu-xue-yuan 青浦区成人进修学院
qing-pu-qu-wei-dang-xiao 青浦区委党校
qing-pu-qu-wei-dang-xiao 清浦区委党校
qing-pu-qu-xing-zheng-xue-yuan 青浦区行政学院
qing-shan-qu-wei-dang-xiao 青山区委党校
qing-shui-he-xian-jiao-shi-jin-xiu-xue-xiao 清水河县教师进修学校
qing-tian-xian-xing-zheng-xue-xiao 青田县行政学校
qing-tong-xia-shi-xing-zheng-xue-yuan 青铜峡市行政学院
qing-xin-xian-wei-dang-xiao 清新县委党校
qing-yang-guang-bo-dian-shi-da-xue 青阳广播电视大学
qing-yang-qu-wei-dang-xiao 青羊区委党校
qing-yang-shi-guang-bo-dian-shi-da-xue 庆阳市广播电视大学
qing-yang-xian-wei-dang-xiao 青阳县委党校
qing-yuan-qu-wei-dang-xiao 青原区委党校
qing-yuan-xian-wei-dang-xiao 清苑县委党校
qing-yuan-yi-si-dun-guo-ji-mei-shu-xue-yuan 轻院易斯顿国际美术学院
qing-yuan-zhi-ye-ji-shu-xue-yuan 清远职业技术学院
qing-yun-xian-wei-dang-xiao 庆云县委党校
qing-zhou-shi-wei-dang-xiao 青州市委党校
qiong-hai-shi-wei-dang-xiao 琼海市委党校
qiong-lai-shi-wei-dang-xiao 邛崃市委党校
qiong-lai-shi-xing-zheng-xue-xiao 邛崃市行政学校
qiong-tai-shi-fan-gao-deng-zhuan-ke-xue-xiao 琼台师范高等专科学校
qiong-zhou-da-xue 琼州大学
qiu-shi-xue-yuan 求实学院
qiu-shi-zhi-ye-ji-shu-xue-yuan-ying-shi-xue-yuan 求实职业技术学院影视学院
qiu-yang-fan-yi-xue-yuan 秋阳翻译学院
qu-fu-shi-fan-da-xue 曲阜师范大学
qu-fu-shi-wei-dang-xiao 曲阜市委党校
qu-jiang-guang-bo-dian-shi-da-xue 曲江广播电视大学
qu-jing-guang-bo-dian-shi-da-xue 曲靖广播电视大学
qu-jing-shi-xing-zheng-xue-yuan 曲靖市行政学院
qu-jing-yi-xue-gao-deng-zhuan-ke-xue-xiao 曲靖医学高等专科学校
qu-zhou-lao-nian-da-xue 衢州老年大学
qu-zhou-shi-guang-bo-dian-shi-da-xue 衢州市广播电视大学
qu-zhou-shi-jian-she-zhi-ye-xue-xiao 衢州市建设职业学校
qu-zhou-shi-qu-jiang-qu-wei-dang-xiao 衢州市衢江区委党校
qu-zhou-shi-wei-dang-xiao 衢州市委党校
qu-zhou-xian-wei-dang-xiao 曲周县委党校
quan-zhou-dian-shi-da-xue 泉州电视大学
quan-zhou-fang-zhi-fu-zhuang-zhi-ye-xue-yuan 泉州纺织服装职业学院
quan-zhou-guang-dian-xin-xi-zhi-ye-xue-yuan 泉州光电信息职业学院
quan-zhou-jing-mao-xue-yuan 泉州经贸学院
quan-zhou-li-gong-xue-yuan 泉州理工学院
quan-zhou-shi-fan-xue-yuan 泉州师范学院
quan-zhou-xian-wei-dang-xiao 全州县委党校
quan-zhou-xing-zheng-xue-yuan 泉州行政学院
quan-zhou-yi-xue-gao-deng-zhuan-ke-xue-xiao 泉州医学高等专科学校
quan-zhou-yu-qing-xue-yuan 泉州育青学院
rao-ping-xian-guang-bo-dian-shi-da-xue 饶平县广播电视大学
ren-cheng-qu-wei-lao-gan-bu-dang-xiao 任城区委老干部党校
ren-da-xue-xiao 任大学校
ren-hua-xian-xing-zheng-xue-xiao 仁化县行政学校
ren-ji-yi-ke-zhuan-xiu-xue-yuan 仁济医科专修学院
ren-min-guang-chang-jie-dao-lao-nian-xue-xiao 人民广场街道老年学校
ren-shou-dian-da 仁寿电大
ren-shou-xian-xing-zheng-xue-xiao 仁寿县行政学校
ri-zhao-guang-bo-dian-shi-da-xue 日照广播电视大学
ri-zhao-shi-dong-gang-qu-wei-dang-xiao 日照市东港区委党校
ri-zhao-shi-wei-dang-xiao 日照市委党校
ri-zhao-zhi-ye-ji-shu-xue-yuan 日照职业技术学院
rong-an-xian-xing-zheng-xue-xiao 融安县行政学校
rong-chang-xian-wei-dang-xiao 荣昌县委党校
rong-chang-xian-xing-zheng-xue-xiao 荣昌县行政学校
rong-cheng-shi-guang-bo-dian-shi-da-xue 荣成市广播电视大学
rong-cheng-shi-xia-zhuang-zhen-wei-dang-xiao 荣成市夏庄镇委党校
rong-cheng-xian-wu-qi-da-xue 容城县五七大学
rong-shui-miao-zu-zi-zhi-xian-xing-zheng-xue-xiao 融水苗族自治县行政学校
rong-shui-xian-wei-dang-xiao 融水县委党校
ru-dong-guang-bo-dian-shi-da-xue 如东广播电视大学
ru-dong-xian-wei-dang-xiao 如东县委党校
ru-gao-dian-da 如皋电大
ru-gao-gao-deng-shi-fan-xue-xiao 如皋高等师范学校
ru-gao-shi-wei-dang-xiao 如皋市委党校
ru-yuan-jiao-shi-jin-xiu-xue-xiao 乳源教师进修学校
ruan-jian-xue-yuan 软件学院
rui-cheng-xian-wei-dang-xiao 芮城县委党校
rui-jin-er-lu-jie-dao-lao-nian-xue-xiao 瑞金二路街道老年学校
rui-li-shi-wei-dang-xiao 瑞丽市委党校
ruo-er-gai-xian-wei-dang-xiao 若尔盖县委党校
san-dun-zhen-lao-nian-xue-xiao 三墩镇老年学校
san-jiang-da-xue 三江大学
san-jiang-min-zu-xing-zheng-xue-xiao 三江民族行政学校
san-jiang-xian-wei-dang-xiao 三江县委党校
san-jiang-xue-yuan 三江学院
san-jiang-xue-yuan-cheng-ren-jiao-yu-xue-yuan 三江学院成人教育学院
san-jiang-xue-yuan-gao-deng-zhi-ye-ji-shu-xue-yuan 三江学院高等职业技术学院
san-lian-zhi-ye-ji-shu-xue-yuan 三联职业技术学院
san-men-xia-shi-wei-dang-xiao 三门峡市委党校
san-men-xia-xing-zheng-xue-yuan 三门峡行政学院
san-men-xia-zhi-ye-ji-shu-xue-yuan 三门峡职业技术学院
san-men-xian-jiao-shi-jin-xiu-xue-xiao 三门县教师进修学校
san-ming-da-xue 三明大学
san-ming-xue-yuan 三明学院
san-ping-wu-qi-da-xue 三平五七大学
san-rong-ji-tuan-tian-tian-hao-shang-xue-yuan 三荣集团天天好商学院
san-shui-guang-bo-dian-shi-da-xue 三水广播电视大学
san-xia-da-xue 三峡大学
san-xia-ji-dian-ji-shu-pei-xun-xue-yuan 三峡机电技术培训学院
san-xia-lian-he-zhi-ye-da-xue 三峡联合职业大学
san-xiang-bao-yuan-li-gong-xue-xiao 三乡宝元理工学校
san-xing-zhen-lao-nian-xue-xiao 三星镇老年学校
san-ya-cheng-shi-zhi-ye-xue-yuan 三亚城市职业学院
san-ya-hang-kong-lv-you-zhi-ye-xue-yuan 三亚航空旅游职业学院
san-ya-shi-wu-qi-da-xue 三亚市五七大学
san-ya-shi-xing-zheng-xue-yuan 三亚市行政学院
san-yuan-qu-wei-dang-xiao 三元区委党校
sang-zhi-xian-wei-dang-xiao 桑植县委党校
se-da-la-rong-wu-ming-fo-xue-yuan 色达喇荣五明佛学院
sen-lin-gong-an-gao-deng-zhuan-ke-xue-yuan 森林公安高等专科学院
sen-tai-da-zhi-ye-xue-yuan 森泰达职业学院
sha-che-xian-wei-dang-xiao 莎车县委党校
sha-he-kou-qu-wei-dang-xiao 沙河口区委党校
sha-meng-hai-shu-xue-yuan 沙孟海书学院
sha-ping-ba-qu-she-hui-zhu-yi-xue-yuan 沙坪坝区社会主义学院
sha-ping-ba-qu-wei-dang-xiao 沙坪坝区委党校
sha-shi-da-xue 沙市大学
sha-wan-xian-wei-yuan-hui-dang-xiao 沙湾县委员会党校
sha-xian-xian-wei-dang-xiao 沙县县委党校
sha-yang-xian-xing-zheng-xue-xiao 沙洋县行政学校
sha-zhou-gong-xue-yuan 沙洲工学院
shan-da-cheng-ren-jiao-yu-xue-yuan 汕大成人教育学院
shan-da-da-xue 杉达大学
shan-da-fa-lv-zhi-ye-xue-yuan 山大法律职业学院
shan-dong-cai-zheng-xue-yuan 山东财政学院
shan-dong-cai-zheng-xue-yuan-dong-fang-xue-yuan 山东财政学院东方学院
shan-dong-cai-zheng-zhi-gong-da-xue 山东财政职工大学
shan-dong-cheng-shi-jian-she-zhi-ye-xue-yuan 山东城市建设职业学院
shan-dong-da-wang-zhi-ye-xue-yuan 山东大王职业学院
shan-dong-da-xue 山东大学
shan-dong-de-zhou-ke-ji-xue-yuan 山东德州科技学院
shan-dong-di-er-ji-shu-xue-yuan 山东第二技术学院
shan-dong-dian-da 山东电大
shan-dong-dian-li-gao-deng-zhuan-ke-xue-xiao 山东电力高等专科学校
shan-dong-dian-zi-zhi-ye-ji-shu-xue-yuan 山东电子职业技术学院
shan-dong-fa-guan-pei-xun-xue-yuan 山东法官培训学院
shan-dong-fang-zhi-zhi-ye-xue-yuan 山东纺织职业学院
shan-dong-fu-zhuang-xue-yuan 山东服装学院
shan-dong-gong-hui-gan-bu-xue-yuan 山东工会干部学院
shan-dong-gong-shang-xue-yuan 山东工商学院
shan-dong-gong-ye-da-xue 山东工业大学
shan-dong-gong-ye-ji-shu-xue-yuan 山东工业技术学院
shan-dong-gong-ye-zhi-ye-xue-yuan 山东工业职业学院
shan-dong-gong-yi-mei-shu-xue-yuan 山东工艺美术学院
shan-dong-guan-xian-ke-ji-xue-xiao 山东冠县科技学校
shan-dong-guang-bo-dian-shi-da-xue 山东广播电视大学
shan-dong-guang-bo-ying-shi-xue-yuan 山东广播影视学院
shan-dong-hai-yang-xu-mu-shou-yi-zhuan-xiu-xue-yuan 山东海洋畜牧兽医专修学院
shan-dong-he-ze-xin-wen-xue-yuan 山东菏泽新闻学院
shan-dong-hua-chen-zhuan-xiu-xue-yuan 山东华晨专修学院
shan-dong-hua-gong-ji-shu-xue-yuan 山东化工技术学院
shan-dong-hua-gong-zhi-ye-xue-yuan 山东化工职业学院
shan-dong-hua-yu-zhi-ye-ji-shu-xue-yuan 山东华宇职业技术学院
shan-dong-huang-he-zhi-ye-zhuan-xiu-xue-yuan 山东黄河职业专修学院
shan-dong-ji-nan-qian-fo-shan-xue-yuan 山东济南千佛山学院
shan-dong-ji-nan-yi-xue-ji-xu-jiao-yu-xue-yuan 山东济南医学继续教育学院
shan-dong-ji-shu-xue-yuan 山东技术学院
shan-dong-jian-she-xue-yuan 山东建设学院
shan-dong-jian-zhu-da-xue 山东建筑大学
shan-dong-jian-zhu-gong-cheng-xue-yuan 山东建筑工程学院
shan-dong-jiao-tong-ji-shu-xue-yuan 山东交通技术学院
shan-dong-jiao-tong-xue-yuan 山东交通学院
shan-dong-jiao-tong-xue-yuan-hai-yun-xue-yuan 山东交通学院海运学院
shan-dong-jiao-tong-xue-yuan-zhi-ye-ji-shu-xue-yuan 山东交通学院职业技术学院
shan-dong-jiao-tong-zhi-ye-xue-yuan 山东交通职业学院
shan-dong-jiao-yu-xue-yuan 山东教育学院
shan-dong-jing-cha-xue-yuan 山东警察学院
shan-dong-jing-ji-gan-bu-xue-yuan 山东经济干部学院
shan-dong-jing-ji-xin-xi-jin-xiu-xue-yuan 山东经济信息进修学院
shan-dong-jing-ji-xue-yuan 山东经济学院
shan-dong-jing-ji-xue-yuan-yan-shan-xue-yuan 山东经济学院燕山学院
shan-dong-jing-mao-zhi-ye-xue-yuan 山东经贸职业学院
shan-dong-kai-wen-ke-ji-zhi-ye-xue-yuan 山东凯文科技职业学院
shan-dong-ke-ji-da-xue 山东科技大学
shan-dong-ke-ji-jin-xiu-xue-yuan 山东科技进修学院
shan-dong-ke-ji-zhi-ye-xue-yuan 山东科技职业学院
shan-dong-lao-dong-zhi-ye-ji-shu-xue-yuan 山东劳动职业技术学院
shan-dong-lao-nian-da-xue 山东老年大学
shan-dong-li-gong-da-xue 山东理工大学
shan-dong-li-ming-ke-ji-zhi-ye-xue-yuan 山东力明科技职业学院
shan-dong-lian-he-da-xue 山东联合大学
shan-dong-lv-ye-zhi-ye-xue-yuan 山东铝业职业学院
shan-dong-lv-you-guan-li-jin-xiu-xue-yuan 山东旅游管理进修学院
shan-dong-nong-ye-da-xue 山东农业大学
shan-dong-qing-gong-ye-xue-yuan 山东轻工业学院
shan-dong-qing-gong-ye-xue-yuan-jin-rong-zhi-ye-xue-yuan 山东轻工业学院金融职业学院
shan-dong-quan-cheng-lv-you-zhi-ye-xue-yuan 山东泉城旅游职业学院
shan-dong-ren-cai-xue-yuan 山东人才学院
shan-dong-ren-min-xue-yuan 山东人民学院
shan-dong-shang-wu-zhi-ye-xue-yuan 山东商务职业学院
shan-dong-shang-ye-zhi-ye-ji-shu-xue-yuan 山东商业职业技术学院
shan-dong-she-hui-ke-xue-yuan 山东社会科学院
shan-dong-shen-xue-yuan 山东神学院
shan-dong-sheng-cai-zheng-ji-gong-da-xue 山东省财政技工大学
shan-dong-sheng-di-zhi-xue-xiao 山东省地质学校
shan-dong-sheng-dian-li-xue-xiao 山东省电力学校
shan-dong-sheng-gan-bu-xue-yuan 山东省干部学院
shan-dong-sheng-gong-hui-guan-li-gan-bu-xue-yuan 山东省工会管理干部学院
shan-dong-sheng-gong-shang-xing-zheng-guan-li-xue-xiao 山东省工商行政管理学校
shan-dong-sheng-guang-bo-dian-shi-da-xue 山东省广播电视大学
shan-dong-sheng-han-cai-mao-zhi-ye-xue-yuan 山东圣翰财贸职业学院
shan-dong-sheng-hua-gong-xue-xiao 山东省化工学校
shan-dong-sheng-ji-ning-xing-zheng-xue-yuan 山东省济宁行政学院
shan-dong-sheng-jiao-yu-xue-yuan 山东省教育学院
shan-dong-sheng-jing-guan-pei-xun-xue-yuan 山东省警官培训学院
shan-dong-sheng-li-zhi-ye-xue-yuan 山东胜利职业学院
shan-dong-sheng-mao-yi-zhi-gong-da-xue 山东省贸易职工大学
shan-dong-sheng-nong-cun-ying-yong-ji-shu-han-shou-da-xue 山东省农村应用技术函授大学
shan-dong-sheng-nong-ye-gan-bu-xue-yuan 山东省农业干部学院
shan-dong-sheng-nong-ye-guan-li-gan-bu-xue-yuan 山东省农业管理干部学院
shan-dong-sheng-nong-ye-ke-xue-yuan 山东省农业科学院
shan-dong-sheng-peng-lai-shi-fan-xue-xiao 山东省蓬莱师范学校
shan-dong-sheng-qing-nian-guan-li-gan-bu-xue-yuan 山东省青年管理干部学院
shan-dong-sheng-ren-min-xue-yuan 山东省人民学院
shan-dong-sheng-shang-mao-xue-xiao 山东省商贸学校
shan-dong-sheng-she-hui-zhu-yi-xue-yuan 山东省社会主义学院
shan-dong-sheng-shui-li-ji-shu-xue-yuan 山东省水利技术学院
shan-dong-sheng-wei-dang-xiao 山东省委党校
shan-dong-sheng-wei-fang-shang-ye-xue-xiao 山东省潍坊商业学校
shan-dong-sheng-wen-deng-shi-fan-xue-yuan 山东省文登师范学院
shan-dong-sheng-xin-ke-zhuan-xiu-xue-yuan 山东省信科专修学院
shan-dong-sheng-xu-mu-shou-yi-zhi-ye-xue-yuan 山东省畜牧兽医职业学院
shan-dong-sheng-yi-shui-shi-fan-xue-yuan 山东省沂水师范学院
shan-dong-sheng-yi-xue-ke-xue-yuan 山东省医学科学院
shan-dong-sheng-yi-yao-xue-xiao 山东省医药学校
shan-dong-sheng-zhi-ji-guan-dang-xiao 山东省直机关党校
shan-dong-sheng-zi-bo-di-er-shi-fan-xue-yuan 山东省淄博第二师范学院
shan-dong-sheng-zi-bo-ren-min-jing-cha-xue-xiao 山东省淄博人民警察学校
shan-dong-sheng-zi-bo-wei-sheng-xue-xiao 山东省淄博卫生学校
shan-dong-shi-fan-da-xue 山东师范大学
shan-dong-shui-li-zhi-ye-xue-yuan 山东水利职业学院
shan-dong-ti-yu-xue-yuan 山东体育学院
shan-dong-tong-xin-ji-shu-xue-yuan 山东通信技术学院
shan-dong-wai-guo-yu-da-xue 山东外国语大学
shan-dong-wai-guo-yu-zhi-ye-xue-yuan 山东外国语职业学院
shan-dong-wai-mao-zhi-ye-xue-yuan 山东外贸职业学院
shan-dong-wai-shi-fan-yi-xue-yuan 山东外事翻译学院
shan-dong-wei-fang-ke-ji-xue-yuan 山东潍坊科技学院
shan-dong-wei-hai-wai-guo-yu-jin-xiu-xue-yuan 山东威海外国语进修学院
shan-dong-wu-ye-guan-li-zhuan-xiu-xue-yuan 山东物业管理专修学院
shan-dong-xian-dai-zhi-ye-xue-yuan 山东现代职业学院
shan-dong-xie-he-zhi-ye-ji-shu-xue-yuan 山东协和职业技术学院
shan-dong-xin-xi-zhi-ye-ji-shu-xue-yuan 山东信息职业技术学院
shan-dong-xing-lin-ke-ji-zhi-ye-xue-yuan 山东杏林科技职业学院
shan-dong-xing-zheng-xue-yuan 山东行政学院
shan-dong-yan-tai-jian-wen-xue-yuan 山东烟台建文学院
shan-dong-yan-tai-shang-wu-zhuan-xiu-xue-yuan 山东烟台商务专修学院
shan-dong-ye-jin-ji-shu-xue-yuan 山东冶金技术学院
shan-dong-ye-jin-zhi-gong-da-xue 山东冶金职工大学
shan-dong-yi-ke-da-xue 山东医科大学
shan-dong-yi-shu-she-ji-xue-yuan 山东艺术设计学院
shan-dong-yi-shu-xue-yuan 山东艺术学院
shan-dong-yi-shu-xue-yuan-zhi-ye-xue-yuan 山东艺术学院职业学院
shan-dong-yi-xue-gao-deng-zhuan-ke-xue-xiao 山东医学高等专科学校
shan-dong-yi-xue-ke-xue-yuan 山东医学科学院
shan-dong-ying-cai-zhi-ye-ji-shu-xue-yuan 山东英才职业技术学院
shan-dong-zheng-fa-xue-yuan 山东政法学院
shan-dong-zheng-fa-xue-yuan-jing-guan-xue-yuan 山东政法学院警官学院
shan-dong-zhong-xi-yi-lian-he-da-xue 山东中西医联合大学
shan-dong-zhong-yi-yao-da-xue 山东中医药大学
shan-dong-zhong-yi-yao-gao-deng-zhuan-ke-xue-xiao 山东中医药高等专科学校
shan-kou-xiang-wu-qi-da-xue 山口乡五七大学
shan-rong-nong-chang-ye-yu-da-xue 山荣农场业余大学
shan-ting-qu-wei-dang-xiao 山亭区委党校
shan-tou-da-xue 汕头大学
shan-tou-guang-bo-dian-shi-da-xue 汕头广播电视大学
shan-tou-shi-chao-yang-qu-wei-dang-xiao 汕头市潮阳区委党校
shan-tou-shi-chao-yang-qu-xing-zheng-xue-yuan 汕头市潮阳区行政学院
shan-tou-shi-cheng-hai-guang-bo-dian-shi-da-xue 汕头市澄海广播电视大学
shan-tou-shi-cheng-hai-qu-wei-dang-xiao 汕头市澄海区委党校
shan-tou-shi-xing-zheng-xue-yuan 汕头市行政学院
shan-tou-shi-ye-yu-da-xue 汕头市业余大学
shan-tou-zhi-ye-ji-shu-xue-yuan 汕头职业技术学院
shan-wei-shi-guang-bo-dian-shi-da-xue 汕尾市广播电视大学
shan-wei-shi-xing-zheng-xue-yuan 汕尾市行政学院
shan-wei-shi-zhi-ye-ji-shu-xue-yuan 汕尾市职业技术学院
shan-xi-bing-qi-gong-ye-zhi-gong-da-xue 陕西兵器工业职工大学
shan-xi-bo-hua-zhi-ye-ji-neng-pei-xun-xue-yuan 陕西博华职业技能培训学院
shan-xi-cai-jing-da-xue 山西财经大学
